	a	brief
fabrics	also	try
also	try	western
try	western	market
western	market	morrison
market	morrison	street
morrison	street	in
street	in	central
in	central	cameras
central	cameras	photo
cameras	photo	buffs
photo	buffs	know
buffs	know	that
know	that	hong
that	hong	kong
hong	kong	is
kong	is	the
is	the	place
the	place	to
place	to	buy
to	buy	some
buy	some	of
some	of	the
of	the	world
the	world	s
world	s	most
s	most	advanced
most	advanced	photographic
advanced	photographic	equipment
photographic	equipment	and
equipment	and	there
and	there	are
there	are	some
are	some	real
some	real	bargains
real	bargains	around
bargains	around	however
around	however	be
however	be	sure
be	sure	you
sure	you	compare
you	compare	prices
compare	prices	and
prices	and	models
and	models	before
models	before	buying
before	buying	two
buying	two	reliable
two	reliable	places
reliable	places	to
places	to	start
to	start	looking
start	looking	in
looking	in	lan
in	lan	kwai
lan	kwai	fong
kwai	fong	are
fong	are	photo
are	photo	scientific
photo	scientific	in
scientific	in	the
in	the	eurasia
the	eurasia	building
eurasia	building	and
building	and	hing
and	hing	lee
hing	lee	camera
lee	camera	company
camera	company	25
company	25	lyndhurst
25	lyndhurst	terrace
lyndhurst	terrace	carpets
terrace	carpets	and
carpets	and	rugs
and	rugs	hong
rugs	hong	kong
hong	kong	is
kong	is	a
is	a	mecca
a	mecca	for
mecca	for	chinese
for	chinese	hand
chinese	hand	knotted
hand	knotted	wool
knotted	wool	carpets
wool	carpets	and
carpets	and	silk
and	silk	rugs
silk	rugs	hong
rugs	hong	kong
hong	kong	s
kong	s	stores
s	stores	are
stores	are	usually
are	usually	able
usually	able	to
able	to	arrange
to	arrange	shipment
arrange	shipment	caravan
shipment	caravan	at
caravan	at	65
at	65	hollywood
65	hollywood	road
hollywood	road	and
road	and	the
and	the	shops
the	shops	in
shops	in	the
in	the	silk
the	silk	road
silk	road	at
road	at	ocean
at	ocean	center
ocean	center	in
center	in	tsim
in	tsim	sha
tsim	sha	tsui
sha	tsui	are
tsui	are	good
are	good	places
good	places	to
places	to	start
to	start	looking
start	looking	china
looking	china	porcelain
china	porcelain	in
porcelain	in	hong
in	hong	kong
hong	kong	you
kong	you	can
you	can	have
can	have	a
have	a	plate
a	plate	or
plate	or	even
or	even	a
even	a	whole
a	whole	dinner
whole	dinner	service
dinner	service	hand
service	hand	painted
hand	painted	to
painted	to	your
to	your	own
your	own	design
own	design	factories
design	factories	in
factories	in	kowloon
in	kowloon	and
kowloon	and	the
and	the	new
the	new	territories
new	territories	producing
territories	producing	traditional
producing	traditional	and
traditional	and	modern
and	modern	china
modern	china	are
china	are	geared
are	geared	to
geared	to	entertain
to	entertain	and
entertain	and	instruct
and	instruct	visiting
instruct	visiting	tourists
visiting	tourists	prices
tourists	prices	are
prices	are	appealing
are	appealing	two
appealing	two	of
two	of	the
of	the	largest
the	largest	places
largest	places	to
places	to	go
to	go	are
go	are	the
are	the	wah
the	wah	tung
wah	tung	china
tung	china	company
china	company	in
company	in	the
in	the	grand
the	grand	marine
grand	marine	industrial
marine	industrial	building
industrial	building	in
building	in	aberdeen
in	aberdeen	and
aberdeen	and	the
and	the	overjoy
the	overjoy	porcelain
overjoy	porcelain	factory
porcelain	factory	in
factory	in	block
in	block	b
block	b	of
b	of	the
of	the	kwai
the	kwai	hing
kwai	hing	industrial
hing	industrial	building
industrial	building	kwai
building	kwai	chung
kwai	chung	in
chung	in	the
in	the	new
the	new	territories
new	territories	in
territories	in	antiques
in	antiques	shops
antiques	shops	look
shops	look	for
look	for	highly
for	highly	valued
highly	valued	porcelains
valued	porcelains	from
porcelains	from	china
from	china	note
china	note	that
note	that	because
that	because	of
because	of	the
of	the	duty
the	duty	free
duty	free	situation
free	situation	good
situation	good	bargains
good	bargains	may
bargains	may	be
may	be	found
be	found	in
found	in	european
in	european	china
european	china	including
china	including	spode
including	spode	and
spode	and	wedgwood
and	wedgwood	electronics
wedgwood	electronics	the
electronics	the	latest
the	latest	gadgets
latest	gadgets	are
gadgets	are	sometimes
are	sometimes	available
sometimes	available	in
available	in	hong
in	hong	kong
hong	kong	before
kong	before	anywhere
before	anywhere	else
anywhere	else	before
else	before	you
before	you	begin
you	begin	shopping
begin	shopping	pick
shopping	pick	up
pick	up	hkta
up	hkta	s
hkta	s	shopping
s	shopping	guide
shopping	guide	to
guide	to	consumer
to	consumer	electronics
consumer	electronics	prices
electronics	prices	on
prices	on	electronics
on	electronics	have
electronics	have	risen
have	risen	in
risen	in	the
in	the	past
the	past	two
past	two	years
two	years	check
years	check	prices
check	prices	at
prices	at	home
at	home	before
home	before	you
before	you	buy
you	buy	here
buy	here	nathan
here	nathan	road
nathan	road	has
road	has	many
has	many	electronics
many	electronics	shops
electronics	shops	also
shops	also	check
also	check	out
check	out	star
out	star	computer
star	computer	city
computer	city	in
city	in	the
in	the	star
the	star	house
star	house	near
house	near	the
near	the	star
the	star	ferry
star	ferry	terminal
ferry	terminal	furniture
terminal	furniture	the
furniture	the	choice
the	choice	ranges
choice	ranges	from
ranges	from	traditional
from	traditional	hand
traditional	hand	carved
hand	carved	chinese
carved	chinese	rosewood
chinese	rosewood	furniture
rosewood	furniture	to
furniture	to	well
to	well	made
well	made	reproductions
made	reproductions	of
reproductions	of	modern
of	modern	western
modern	western	styles
western	styles	rattan
styles	rattan	furniture
rattan	furniture	is
furniture	is	highly
is	highly	popular
highly	popular	hollywood
popular	hollywood	road
hollywood	road	has
road	has	several
has	several	furniture
several	furniture	shops
furniture	shops	queen
shops	queen	s
queen	s	road
s	road	east
road	east	in
east	in	wan
in	wan	chai
wan	chai	is
chai	is	a
is	a	furniture
a	furniture	manufacturing
furniture	manufacturing	and
manufacturing	and	retail
and	retail	area
retail	area	jade
area	jade	good
jade	good	for
good	for	the
for	the	health
the	health	is
health	is	just
is	just	one
just	one	of
one	of	the
of	the	many
the	many	magical
many	magical	qualities
magical	qualities	that
qualities	that	are
that	are	attributed
are	attributed	to
attributed	to	these
to	these	beautiful
these	beautiful	emerald
beautiful	emerald	green
emerald	green	or
green	or	turquoise
or	turquoise	stones
turquoise	stones	real
stones	real	jade
real	jade	is
jade	is	extremely
is	extremely	expensive
extremely	expensive	and
expensive	and	you
and	you	may
you	may	be
may	be	offered
be	offered	counterfeit
offered	counterfeit	jade
counterfeit	jade	which
jade	which	looks
which	looks	exactly
looks	exactly	like
exactly	like	the
like	the	genuine
the	genuine	article
genuine	article	some
article	some	people
some	people	say
people	say	you
say	you	can
you	can	test
can	test	the
test	the	authenticity
the	authenticity	by
authenticity	by	touch
by	touch	real
touch	real	jade
real	jade	feels
jade	feels	smooth
feels	smooth	and
smooth	and	cool
and	cool	alternatively
cool	alternatively	you
alternatively	you	can
you	can	shine
can	shine	a
shine	a	lamp
a	lamp	on
lamp	on	the
on	the	stone
the	stone	real
stone	real	jade
real	jade	shows
jade	shows	no
shows	no	reflected
no	reflected	light
reflected	light	better
light	better	still
better	still	go
still	go	shopping
go	shopping	with
shopping	with	an
with	an	expert
an	expert	jewelry
expert	jewelry	thanks
jewelry	thanks	to
thanks	to	the
to	the	duty
the	duty	free
duty	free	situation
free	situation	prices
situation	prices	in
prices	in	hong
in	hong	kong
hong	kong	are
kong	are	lower
are	lower	than
lower	than	they
than	they	are
they	are	in
are	in	some
in	some	other
some	other	places
other	places	you
places	you	can
you	can	buy
can	buy	gemstones
buy	gemstones	loose
gemstones	loose	or
loose	or	set
or	set	or
set	or	have
or	have	them
have	them	made
them	made	up
made	up	to
up	to	your
to	your	own
your	own	design
own	design	popular
design	popular	purchases
popular	purchases	include
purchases	include	diamonds
include	diamonds	and
diamonds	and	freshwater
and	freshwater	pearls
freshwater	pearls	if
pearls	if	you
if	you	do
you	do	plan
do	plan	to
plan	to	buy
to	buy	jewelry
buy	jewelry	be
jewelry	be	sure
be	sure	to
sure	to	consult
to	consult	the
consult	the	shopping
the	shopping	guide
shopping	guide	to
guide	to	jewellery
to	jewellery	published
jewellery	published	by
published	by	the
by	the	hong
the	hong	kong
hong	kong	tourist
kong	tourist	authority
tourist	authority	to
authority	to	find
to	find	a
find	a	reputable
a	reputable	dealer
reputable	dealer	kitchen
dealer	kitchen	equipment
kitchen	equipment	woks
equipment	woks	and
woks	and	any
and	any	other
any	other	gadgets
other	gadgets	essential
gadgets	essential	for
essential	for	chinese
for	chinese	cookery
chinese	cookery	make
cookery	make	good
make	good	purchases
good	purchases	department
purchases	department	stores
department	stores	sell
stores	sell	all
sell	all	sorts
all	sorts	of
sorts	of	intriguing
of	intriguing	kitchen
intriguing	kitchen	equipment
kitchen	equipment	leather
equipment	leather	goods
leather	goods	leather
goods	leather	is
leather	is	not
is	not	a
not	a	great
a	great	bargain
great	bargain	in
bargain	in	hong
in	hong	kong
hong	kong	locally
kong	locally	made
locally	made	items
made	items	do
items	do	not
do	not	live
not	live	up
live	up	to
up	to	their
to	their	european
their	european	models
european	models	however
models	however	the
however	the	leather
the	leather	garment
leather	garment	industry
garment	industry	is
industry	is	growing
is	growing	and
growing	and	there
and	there	is
there	is	a
is	a	wide
a	wide	range
wide	range	of
range	of	locally
of	locally	produced
locally	produced	leather
produced	leather	accessories
leather	accessories	all
accessories	all	at
all	at	extremely
at	extremely	attractive
extremely	attractive	prices
attractive	prices	for
prices	for	european
for	european	imports
european	imports	you
imports	you	will
you	will	pay
will	pay	top
pay	top	dollar
top	dollar	musical
dollar	musical	audio
musical	audio	and
audio	and	video
and	video	equipment
video	equipment	hong
equipment	hong	kong
hong	kong	has
kong	has	a
has	a	vast
a	vast	range
vast	range	of
range	of	the
of	the	most
the	most	high
most	high	tech
high	tech	audio
tech	audio	visual
audio	visual	sound
visual	sound	and
sound	and	screen
and	screen	equipment
screen	equipment	before
equipment	before	purchasing
before	purchasing	visitors
purchasing	visitors	should
visitors	should	make
should	make	sure
make	sure	of
sure	of	compatibility
of	compatibility	with
compatibility	with	systems
with	systems	in
systems	in	their
in	their	own
their	own	countries
own	countries	be
countries	be	sure
be	sure	to
sure	to	look
to	look	around
look	around	and
around	and	compare
and	compare	before
compare	before	buying
before	buying	whatever
buying	whatever	you
whatever	you	buy
you	buy	you
buy	you	may
you	may	be
may	be	able
be	able	to
able	to	work
to	work	out
work	out	a
out	a	discount
a	discount	ready
discount	ready	to
ready	to	wear
to	wear	clothes
wear	clothes	hong
clothes	hong	kong
hong	kong	s
kong	s	shops
s	shops	carry
shops	carry	almost
carry	almost	every
almost	every	recognizable
every	recognizable	european
recognizable	european	and
european	and	many
and	many	american
many	american	labels
american	labels	from
labels	from	top
from	top	end
top	end	designers
end	designers	to
designers	to	the
to	the	moderately
the	moderately	priced
moderately	priced	or
priced	or	trendy
or	trendy	nathan
trendy	nathan	road
nathan	road	central
road	central	and
central	and	the
and	the	hotel
the	hotel	malls
hotel	malls	are
malls	are	places
are	places	to
places	to	look
to	look	there
look	there	are
there	are	still
are	still	a
still	a	great
a	great	many
great	many	factory
many	factory	outlet
factory	outlet	stores
outlet	stores	with
stores	with	reasonable
with	reasonable	prices
reasonable	prices	you
prices	you	ll
you	ll	also
ll	also	find
also	find	bargain
find	bargain	clothes
bargain	clothes	for
clothes	for	sale
for	sale	at
sale	at	the
at	the	markets
the	markets	and
markets	and	on
and	on	push
on	push	carts
push	carts	tailoring
carts	tailoring	tailor
tailoring	tailor	made
tailor	made	clothes
made	clothes	are
clothes	are	not
are	not	as
not	as	popular
as	popular	in
popular	in	hong
in	hong	kong
hong	kong	as
kong	as	they
as	they	were
they	were	in
were	in	the
in	the	past
the	past	but
past	but	hundreds
but	hundreds	of
hundreds	of	shops
of	shops	still
shops	still	remain
still	remain	local
remain	local	tailors
local	tailors	are
tailors	are	experts
are	experts	when
experts	when	it
when	it	comes
it	comes	to
comes	to	producing
to	producing	custom
producing	custom	tailored
custom	tailored	garments
tailored	garments	for
garments	for	both
for	both	men
both	men	and
men	and	women
and	women	and
women	and	are
and	are	also
are	also	adept
also	adept	at
adept	at	copying
at	copying	patterns
copying	patterns	the
patterns	the	result
the	result	can
result	can	be
can	be	a
be	a	quality
a	quality	suit
quality	suit	at
suit	at	a
at	a	fair
a	fair	price
fair	price	but
price	but	made
but	made	to
made	to	measure
to	measure	clothing
measure	clothing	is
clothing	is	not
is	not	cheap
not	cheap	in
cheap	in	choosing
in	choosing	a
choosing	a	tailor
a	tailor	look
tailor	look	for
look	for	hkta
for	hkta	membership
hkta	membership	many
membership	many	tailors
many	tailors	have
tailors	have	web
have	web	sites
web	sites	or
sites	or	are
or	are	listed
are	listed	on
listed	on	web
on	web	sites
web	sites	tea
sites	tea	shops
tea	shops	all
shops	all	over
all	over	town
over	town	will
town	will	sell
will	sell	you
sell	you	gift
you	gift	tins
gift	tins	of
tins	of	exotic
of	exotic	blends
exotic	blends	if
blends	if	you
if	you	want
you	want	to
want	to	learn
to	learn	something
learn	something	about
something	about	tea
about	tea	go
tea	go	to
go	to	the
to	the	tea
the	tea	shop
tea	shop	at
shop	at	149
at	149	hollywood
149	hollywood	road
hollywood	road	or
road	or	the
or	the	moon
the	moon	garden
moon	garden	tea
garden	tea	house
tea	house	at
house	at	5
at	5	hoi
5	hoi	ping
hoi	ping	road
ping	road	causeway
road	causeway	bay
causeway	bay	the
bay	the	owners
the	owners	will
owners	will	brew
will	brew	up
brew	up	a
up	a	pot
a	pot	so
pot	so	you
so	you	can
you	can	taste
can	taste	before
taste	before	making
before	making	a
making	a	choice
a	choice	watches
choice	watches	the
watches	the	saying
the	saying	time
saying	time	is
time	is	money
is	money	is
money	is	quite
is	quite	literally
quite	literally	true
literally	true	in
true	in	hong
in	hong	kong
hong	kong	more
kong	more	is
more	is	spent
is	spent	on
spent	on	watches
on	watches	and
watches	and	clocks
and	clocks	here
clocks	here	than
here	than	on
than	on	cameras
on	cameras	and
cameras	and	optical
and	optical	goods
optical	goods	an
goods	an	enormous
an	enormous	variety
enormous	variety	of
variety	of	makes
of	makes	and
makes	and	models
and	models	are
models	are	on
are	on	sale
on	sale	be
sale	be	sure
be	sure	to
sure	to	get
to	get	the
get	the	manufacturer
the	manufacturer	s
manufacturer	s	guarantee
s	guarantee	stamped
guarantee	stamped	or
stamped	or	signed
or	signed	if
signed	if	you
if	you	buy
you	buy	a
buy	a	watch
a	watch	entertainment
watch	entertainment	day
entertainment	day	and
day	and	night
and	night	the
night	the	action
the	action	goes
action	goes	on
goes	on	in
on	in	this
in	this	vibrant
this	vibrant	city
vibrant	city	to
city	to	help
to	help	you
help	you	choose
you	choose	a
choose	a	nightlife
a	nightlife	scene
nightlife	scene	pick
scene	pick	up
pick	up	a
up	a	copy
a	copy	of
copy	of	hong
of	hong	kong
hong	kong	tourist
kong	tourist	authority
tourist	authority	s
authority	s	dining
s	dining	and
dining	and	entertainment
and	entertainment	guide
entertainment	guide	for
guide	for	listings
for	listings	or
listings	or	just
or	just	simply
just	simply	wander
simply	wander	through
wander	through	the
through	the	maze
the	maze	of
maze	of	neon
of	neon	signs
neon	signs	and
signs	and	take
and	take	your
take	your	pick
your	pick	hong
pick	hong	kong
hong	kong	diary
kong	diary	published
diary	published	weekly
published	weekly	by
weekly	by	hkta
by	hkta	tells
hkta	tells	what
tells	what	s
what	s	happening
s	happening	in
happening	in	the
in	the	arts
the	arts	hong
arts	hong	kong
hong	kong	life
kong	life	is
life	is	published
is	published	by
published	by	the
by	the	hong
the	hong	kong
hong	kong	standard
kong	standard	on
standard	on	sunday
on	sunday	and
sunday	and	the
and	the	south
the	south	china
south	china	morning
china	morning	post
morning	post	has
post	has	an
has	an	entertainment
an	entertainment	section
entertainment	section	on
section	on	friday
on	friday	culture
friday	culture	buffs
culture	buffs	are
buffs	are	well
are	well	catered
well	catered	to
catered	to	and
to	and	there
and	there	is
there	is	always
is	always	a
always	a	varied
a	varied	program
varied	program	of
program	of	events
of	events	ranging
events	ranging	from
ranging	from	world
from	world	class
world	class	concerts
class	concerts	to
concerts	to	local
to	local	amateur
local	amateur	dramatic
amateur	dramatic	productions
dramatic	productions	a
productions	a	highlight
a	highlight	of
highlight	of	the
of	the	arts
the	arts	calendar
arts	calendar	is
calendar	is	the
is	the	annual
the	annual	hong
annual	hong	kong
hong	kong	arts
kong	arts	festival
arts	festival	a
festival	a	three
a	three	week
three	week	dose
week	dose	of
dose	of	international
of	international	culture
international	culture	in
culture	in	february
in	february	with
february	with	concerts
with	concerts	recitals
concerts	recitals	plays
recitals	plays	jazz
plays	jazz	chinese
jazz	chinese	opera
chinese	opera	and
opera	and	innovative
and	innovative	productions
innovative	productions	put
productions	put	on
put	on	by
on	by	leading
by	leading	talent
leading	talent	from
talent	from	both
from	both	east
both	east	and
east	and	west
and	west	tickets
west	tickets	for
tickets	for	the
for	the	shows
the	shows	must
shows	must	be
must	be	reserved
be	reserved	well
reserved	well	in
well	in	advance
in	advance	the
advance	the	festival
the	festival	of
festival	of	asian
of	asian	arts
asian	arts	takes
arts	takes	place
takes	place	every
place	every	other
every	other	october
other	october	bringing
october	bringing	to
bringing	to	hong
to	hong	kong
hong	kong	for
kong	for	two
for	two	weeks
two	weeks	orchestras
weeks	orchestras	dance
orchestras	dance	groups
dance	groups	opera
groups	opera	and
opera	and	drama
and	drama	companies
drama	companies	from
companies	from	all
from	all	over
all	over	asia
over	asia	there
asia	there	are
there	are	more
are	more	than
more	than	30
than	30	cinemas
30	cinemas	in
cinemas	in	hong
in	hong	kong
hong	kong	and
kong	and	the
and	the	latest
the	latest	western
latest	western	releases
western	releases	are
releases	are	shown
are	shown	in
shown	in	some
in	some	of
some	of	the
of	the	larger
the	larger	ones
larger	ones	english
ones	english	language
english	language	films
language	films	have
films	have	chinese
have	chinese	subtitles
chinese	subtitles	films
subtitles	films	with
films	with	mandarin
with	mandarin	dialogue
mandarin	dialogue	also
dialogue	also	have
also	have	chinese
have	chinese	subtitles
chinese	subtitles	for
subtitles	for	the
for	the	benefit
the	benefit	of
benefit	of	cantonese
of	cantonese	speakers
cantonese	speakers	and
speakers	and	sometimes
and	sometimes	subtitles
sometimes	subtitles	in
subtitles	in	english
in	english	the
english	the	hong
the	hong	kong
hong	kong	international
kong	international	film
international	film	festival
film	festival	takes
festival	takes	place
takes	place	in
place	in	april
in	april	more
april	more	than
more	than	200
than	200	films
200	films	from
films	from	all
from	all	over
all	over	the
over	the	world
the	world	are
world	are	shown
are	shown	at
shown	at	this
at	this	two
this	two	week
two	week	event
week	event	ask
event	ask	at
ask	at	city
at	city	hall
city	hall	center
hall	center	about
center	about	advance
about	advance	reservations
advance	reservations	the
reservations	the	performing
the	performing	arts
performing	arts	performance
arts	performance	venues
performance	venues	the
venues	the	theaters
the	theaters	in
theaters	in	the
in	the	hong
the	hong	kong
hong	kong	cultural
kong	cultural	center
cultural	center	in
center	in	tsim
in	tsim	sha
tsim	sha	tsui
sha	tsui	are
tsui	are	the
are	the	main
the	main	venues
main	venues	for
venues	for	concerts
for	concerts	and
concerts	and	opera
and	opera	other
opera	other	performance
other	performance	centers
performance	centers	are
centers	are	the
are	the	city
the	city	hall
city	hall	cultural
hall	cultural	complex
cultural	complex	with
complex	with	exhibition
with	exhibition	halls
exhibition	halls	and
halls	and	theaters
and	theaters	that
theaters	that	present
that	present	concerts
present	concerts	plays
concerts	plays	and
plays	and	films
and	films	the
films	the	hong
the	hong	kong
hong	kong	academy
kong	academy	for
academy	for	the
for	the	performing
the	performing	arts
performing	arts	with
arts	with	two
with	two	major
two	major	theaters
major	theaters	for
theaters	for	dance
for	dance	drama
dance	drama	and
drama	and	concert
and	concert	performances
concert	performances	and
performances	and	the
and	the	hong
the	hong	kong
hong	kong	arts
kong	arts	centre
arts	centre	in
centre	in	wan
in	wan	chai
wan	chai	where
chai	where	both
where	both	local
both	local	and
local	and	visiting
and	visiting	groups
visiting	groups	perform
groups	perform	other
perform	other	centers
other	centers	for
centers	for	concerts
for	concerts	plays
concerts	plays	and
plays	and	entertainment
and	entertainment	are
entertainment	are	sha
are	sha	tin
sha	tin	town
tin	town	hall
town	hall	and
hall	and	tsuen
and	tsuen	wan
tsuen	wan	town
wan	town	hall
town	hall	in
hall	in	the
in	the	new
the	new	territories
new	territories	larger
territories	larger	arenas
larger	arenas	including
arenas	including	the
including	the	queen
the	queen	elizabeth
queen	elizabeth	stadium
elizabeth	stadium	the
stadium	the	hong
the	hong	kong
hong	kong	coliseum
kong	coliseum	and
coliseum	and	the
and	the	ko
the	ko	shan
ko	shan	theater
shan	theater	in
theater	in	kowloon
in	kowloon	play
kowloon	play	host
play	host	to
host	to	various
to	various	concerts
various	concerts	pop
concerts	pop	concerts
pop	concerts	sporting
concerts	sporting	events
sporting	events	and
events	and	variety
and	variety	shows
variety	shows	classical
shows	classical	music
classical	music	the
music	the	hong
the	hong	kong
hong	kong	chinese
kong	chinese	orchestra
chinese	orchestra	performs
orchestra	performs	new
performs	new	and
new	and	traditional
and	traditional	works
traditional	works	a
works	a	wide
a	wide	assortment
wide	assortment	of
assortment	of	traditional
of	traditional	and
traditional	and	chinese
and	chinese	instruments
chinese	instruments	are
instruments	are	featured
are	featured	the
featured	the	hong
the	hong	kong
hong	kong	philharmonic
kong	philharmonic	orchestra
philharmonic	orchestra	was
orchestra	was	founded
was	founded	in
founded	in	1975
in	1975	under
1975	under	its
under	its	conductor
its	conductor	david
conductor	david	atherton
david	atherton	it
atherton	it	offers
it	offers	western
offers	western	classical
western	classical	works
classical	works	and
works	and	new
and	new	works
new	works	by
works	by	chinese
by	chinese	composers
chinese	composers	in
composers	in	a
in	a	september
a	september	to
september	to	june
to	june	season
june	season	chinese
season	chinese	opera
chinese	opera	cantonese
opera	cantonese	opera
cantonese	opera	is
opera	is	alive
is	alive	and
alive	and	well
and	well	in
well	in	hong
in	hong	kong
hong	kong	and
kong	and	the
and	the	two
the	two	other
two	other	forms
other	forms	beijing
forms	beijing	and
beijing	and	kun
and	kun	are
kun	are	sometimes
are	sometimes	presented
sometimes	presented	to
presented	to	most
to	most	foreigners
most	foreigners	this
foreigners	this	unique
this	unique	art
unique	art	form
art	form	is
form	is	likely
is	likely	to
likely	to	be
to	be	inscrutable
be	inscrutable	at
inscrutable	at	first
at	first	exposure
first	exposure	but
exposure	but	everyone
but	everyone	can
everyone	can	appreciate
can	appreciate	the
appreciate	the	spectacle
the	spectacle	and
spectacle	and	the
and	the	elaborate
the	elaborate	glittering
elaborate	glittering	costumes
glittering	costumes	although
costumes	although	the
although	the	music
the	music	may
music	may	seem
may	seem	strange
seem	strange	to
strange	to	the
to	the	unaccustomed
the	unaccustomed	ear
unaccustomed	ear	it
ear	it	certainly
it	certainly	won
certainly	won	t
won	t	put
t	put	you
put	you	to
you	to	sleep
to	sleep	cymbals
sleep	cymbals	and
cymbals	and	drums
and	drums	guarantee
drums	guarantee	your
guarantee	your	alertness
your	alertness	dance
alertness	dance	hong
dance	hong	kong
hong	kong	s
kong	s	three
s	three	professional
three	professional	dance
professional	dance	companies
dance	companies	the
companies	the	hong
the	hong	kong
hong	kong	ballet
kong	ballet	company
ballet	company	the
company	the	hong
the	hong	kong
hong	kong	dance
kong	dance	company
dance	company	and
company	and	the
and	the	newer
the	newer	city
newer	city	contemporary
city	contemporary	dance
contemporary	dance	company
dance	company	perform
company	perform	regularly
perform	regularly	often
regularly	often	at
often	at	the
at	the	hong
the	hong	kong
hong	kong	academy
kong	academy	for
academy	for	the
for	the	performing
the	performing	arts
performing	arts	theater
arts	theater	the
theater	the	two
the	two	leading
two	leading	local
leading	local	troupes
local	troupes	the
troupes	the	chung
the	chung	ying
chung	ying	theatre
ying	theatre	company
theatre	company	and
company	and	the
and	the	hong
the	hong	kong
hong	kong	repertory
kong	repertory	theatre
repertory	theatre	perform
theatre	perform	in
perform	in	cantonese
in	cantonese	there
cantonese	there	are
there	are	english
are	english	language
english	language	performances
language	performances	at
performances	at	the
at	the	fringe
the	fringe	club
fringe	club	theaters
club	theaters	2
theaters	2	lower
2	lower	albert
lower	albert	road
albert	road	in
road	in	central
in	central	puppet
central	puppet	shows
puppet	shows	the
shows	the	classic
the	classic	chinese
classic	chinese	puppet
chinese	puppet	is
puppet	is	the
is	the	shadow
the	shadow	puppet
shadow	puppet	manipulated
puppet	manipulated	behind
manipulated	behind	a
behind	a	screen
a	screen	by
screen	by	three
by	three	rods
three	rods	but
rods	but	hand
but	hand	puppet
hand	puppet	and
puppet	and	marionette
and	marionette	shows
marionette	shows	are
shows	are	also
are	also	on
also	on	offer
on	offer	often
offer	often	for
often	for	free
for	free	at
free	at	public
at	public	parks
public	parks	and
parks	and	playgrounds
and	playgrounds	nightlife
playgrounds	nightlife	hong
nightlife	hong	kong
hong	kong	by
kong	by	night
by	night	can
night	can	suit
can	suit	any
suit	any	taste
any	taste	riotous
taste	riotous	sedate
riotous	sedate	raw
sedate	raw	or
raw	or	cultured
or	cultured	note
cultured	note	that
note	that	sometimes
that	sometimes	there
sometimes	there	is
there	is	a
is	a	cover
a	cover	charge
cover	charge	of
charge	of	hk
of	hk	50
hk	50	to
50	to	hk
to	hk	200
hk	200	at
200	at	clubs
at	clubs	which
clubs	which	may
which	may	or
may	or	may
or	may	not
may	not	include
not	include	a
include	a	couple
a	couple	of
couple	of	drinks
of	drinks	there
drinks	there	are
there	are	nightclubs
are	nightclubs	in
nightclubs	in	the
in	the	principal
the	principal	hotels
principal	hotels	with
hotels	with	bands
with	bands	dancing
bands	dancing	and
dancing	and	floor
and	floor	shows
floor	shows	many
shows	many	restaurants
many	restaurants	and
restaurants	and	bars
and	bars	have
bars	have	live
have	live	music
live	music	jazz
music	jazz	fans
jazz	fans	will
fans	will	find
will	find	live
find	live	jazz
live	jazz	presented
jazz	presented	by
presented	by	international
by	international	artists
international	artists	at
artists	at	the
at	the	jazz
the	jazz	club
jazz	club	and
club	and	bar
and	bar	2
bar	2	f
2	f	34
f	34	36
34	36	d
36	d	agular
d	agular	central
agular	central	and
central	and	at
and	at	the
at	the	blue
the	blue	note
blue	note	in
note	in	the
in	the	kowloon
the	kowloon	shangri
kowloon	shangri	la
shangri	la	hotel
la	hotel	in
hotel	in	tsim
in	tsim	sha
tsim	sha	tsui
sha	tsui	the
tsui	the	frin
the	frin	ge
frin	ge	club
ge	club	21
club	21	lower
21	lower	albert
lower	albert	road
albert	road	central
road	central	is
central	is	hong
is	hong	kong
hong	kong	s
kong	s	best
s	best	known
best	known	alternate
known	alternate	entertainment
alternate	entertainment	venue
entertainment	venue	with
venue	with	jazz
with	jazz	rock
jazz	rock	and
rock	and	other
and	other	live
other	live	music
live	music	in
music	in	addition
in	addition	to
addition	to	a
to	a	gallery
a	gallery	for
gallery	for	visual
for	visual	arts
visual	arts	bars
arts	bars	with
bars	with	views
with	views	and
views	and	live
and	live	music
live	music	include
music	include	sky
include	sky	lounge
sky	lounge	in
lounge	in	the
in	the	sheraton
the	sheraton	hotel
sheraton	hotel	and
hotel	and	towers
and	towers	tsim
towers	tsim	sha
tsim	sha	tsui
sha	tsui	and
tsui	and	cyrano
and	cyrano	in
cyrano	in	the
in	the	island
the	island	shangri
island	shangri	la
shangri	la	in
la	in	pacific
in	pacific	place
pacific	place	pubs
place	pubs	are
pubs	are	numerous
are	numerous	in
numerous	in	tsim
in	tsim	sha
tsim	sha	tsui
sha	tsui	ned
tsui	ned	kelly
ned	kelly	s
kelly	s	last
s	last	stand
last	stand	on
stand	on	ashley
on	ashley	road
ashley	road	is
road	is	an
is	an	aussie
an	aussie	institution
aussie	institution	delaney
institution	delaney	s
delaney	s	71
s	71	77
71	77	peking
77	peking	road
peking	road	is
road	is	one
is	one	of
one	of	hong
of	hong	kong
hong	kong	s
kong	s	enduring
s	enduring	irish
enduring	irish	pubs
irish	pubs	the
pubs	the	clubs
the	clubs	and
clubs	and	bars
and	bars	of
bars	of	wan
of	wan	chai
wan	chai	long
chai	long	the
long	the	center
the	center	of
center	of	seedy
of	seedy	nightlife
seedy	nightlife	have
